"iso","scope","quintile","gender","population","population_perc","ave_income_pc","max_income_pc","ave_hh_income","max_hh_income","access_water_piped_house","access_water_piped_plot","access_water_other_min","access_water_other_max","access_water_daily","access_san_exclusive","access_sewer","access_septic","access_latrine_min","access_latrine_max","access_sewer_exclusive","access_septic_exclusive","access_latrine_exclusive_min","access_latrine_exclusive_max","access_water_piped_house_daily","access_water_piped_plot_daily","hygiene_defecation","access_latrines_unimproved_min","access_latrines_unimproved_exclusive_min","access_water"
"JAM","country","total","all",2948279,1,NA,NA,NA,NA,0.490475006161005,0.189679035508082,0.194274359729718,0.225371049765211,NA,0.818209650421124,0.201625171675464,0.564683351387456,0,0.217711934591516,0.171892380763046,0.478348272566464,0,0.165375425949727,NA,NA,0.0127628452697232,0.00321669707584082,0.00259357114188741,0.905525091434298
"JAM","urban","total","all",NA,0.559850000627485,NA,NA,NA,NA,0.668531892113966,0.210166212308737,0.0690519371172175,0.0714305430484875,NA,0.763067386566138,0.365217845674936,0.525095806661305,0,0.100856695855638,0.311035216390419,0.391852057648403,0,0.0601801125273157,NA,NA,0.008829651808121,0,0,0.95012864747119
"JAM","rural","total","all",NA,0.440149999372515,NA,NA,NA,NA,0.297401012594431,0.167463994395593,0.330057893674392,0.392294717133581,NA,0.878002547729216,0.0242352846274737,0.607609662913496,0,0.344422606246594,0.0210144025990819,0.57213947616549,0,0.279442787951767,NA,NA,0.0170277596258132,0.00670468658662338,0.00540588101287731,0.857159724123605
"JAM","country","1","all",NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAM","country","2","all",NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAM","country","3","all",NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAM","country","4","all",NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAM","country","5","all",NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAM","urban","1","all",NA,0.19389348110107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAM","urban","2","all",NA,0.0756622011569629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAM","urban","3","all",NA,0.0746393873730089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAM","urban","4","all",NA,0.052026108739318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAM","urban","5","all",NA,0.109295665603766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
